Time (s),Channel 1 (V)
0,0.0331853
0.00025,0.0763204
0.0005,0.110332
0.00075,0.150247
0.001,0.178018
0.00125,0.209997
0.0015,0.234501
0.00175,0.245092
0.002,0.253023
0.00225,0.251949
0.0025,0.247527
0.00275,0.229096
0.003,0.217196
0.00325,0.194997
0.0035,0.169759
0.00375,0.143011
0.004,0.122015
0.00425,0.0934201
0.0045,0.0764285
0.00475,0.0590027
0.005,0.0427603
0.00525,0.0333354
0.0055,0.033371
0.00575,0.0245704
0.006,0.0304499
0.00625,0.0367542
0.0065,0.040183
0.00675,0.0419658
0.007,0.0454531
0.00725,0.0532955
0.0075,0.0618991
0.00775,0.0587802
0.008,0.0484427
0.00825,0.0476075
0.0085,0.0297889
0.00875,0.0120075
0.009,-0.0102781
0.00925,-0.0237122
0.0095,-0.0480653
0.00975,-0.0792234
0.01,-0.103038
0.01025,-0.127826
0.0105,-0.142648
0.01075,-0.158683
0.011,-0.162593
0.01125,-0.169963
0.0115,-0.161782
0.01175,-0.144807
0.012,-0.132184
0.01225,-0.106886
0.0125,-0.0726935
0.01275,-0.0395038
0.013,0.00318013
0.01325,0.0431271
0.0135,0.0809805
0.01375,0.120922
0.014,0.157704
0.01425,0.199508
0.0145,0.227393
0.01475,0.245388
0.015,0.265928
0.01525,0.277878
0.0155,0.275174
0.01575,0.273781
0.016,0.266496
0.01625,0.247818
0.0165,0.229394
0.01675,0.207935
0.017,0.185792
0.01725,0.153269
0.0175,0.133769
0.01775,0.108257
0.018,0.0966532
0.01825,0.0771494
0.0185,0.0622152
0.01875,0.0588588
0.019,0.0594371
0.01925,0.0554802
0.0195,0.0597517
0.01975,0.0669532
0.02,0.076955
0.02025,0.0789763
0.0205,0.0793439
0.02075,0.0880704
0.021,0.08836
0.02125,0.081352
0.0215,0.0744532
0.02175,0.0641105
0.022,0.0509331
0.02225,0.0379589
0.0225,0.00694228
0.02275,-0.0129275
0.023,-0.0407009
0.02325,-0.0650813
0.0235,-0.0841263
0.02375,-0.105373
0.024,-0.115131
0.02425,-0.130787
0.0245,-0.128564
0.02475,-0.126954
0.025,-0.122306
0.02525,-0.0987527
0.0255,-0.0793405
0.02575,-0.0449961
0.026,-0.0188492
0.02625,0.0264868
0.0265,0.0671542
0.02675,0.110684
0.027,0.145715
0.02725,0.192142
0.0275,0.226858
0.02775,0.252722
0.028,0.277241
0.02825,0.30113
0.0285,0.315002
0.02875,0.318031
0.029,0.313085
0.02925,0.304371
0.0295,0.297749
0.02975,0.27198
0.03,0.252134
0.03025,0.230415
0.0305,0.207245
0.03075,0.18338
0.031,0.155397
0.03125,0.142442
0.0315,0.123087
0.03175,0.113594
0.032,0.108943
0.03225,0.100842
0.0325,0.101582
0.03275,0.106388
0.033,0.105516
0.03325,0.1106
0.0335,0.123295
0.03375,0.130851
0.034,0.132007
0.03425,0.133782
0.0345,0.130665
0.03475,0.123902
0.035,0.119131
0.03525,0.106967
0.0355,0.0829942
0.03575,0.0605837
0.036,0.0456766
0.03625,0.016684
0.0365,-0.00504717
0.03675,-0.0301328
0.037,-0.050488
0.03725,-0.0686432
0.0375,-0.0812202
0.03775,-0.0784366
0.038,-0.0836655
0.03825,-0.0711272
0.0385,-0.0630314
0.03875,-0.0362775
0.039,-0.011686
0.03925,0.0240614
0.0395,0.0619235
0.03975,0.101901
0.04,0.140661
0.04025,0.190012
0.0405,0.230914
0.04075,0.264981
0.041,0.302155
0.04125,0.329419
0.0415,0.345477
0.04175,0.363157
0.042,0.367424
0.04225,0.367978
0.0425,0.365402
0.04275,0.350205
0.043,0.332961
0.04325,0.314594
0.0435,0.297189
0.04375,0.275087
0.044,0.248882
0.04425,0.225131
0.0445,0.201609
0.04475,0.1854
0.045,0.173473
0.04525,0.163966
0.0455,0.163916
0.04575,0.155359
0.046,0.158056
0.04625,0.167217
0.0465,0.173618
0.04675,0.173715
0.047,0.181888
0.04725,0.189539
0.0475,0.192069
0.04775,0.188603
0.048,0.19295
0.04825,0.176937
